Source,Target,Type,Id,Label,Weight
2,1,Directed,0,,1
3,1,Directed,1,,1
3,2,Directed,2,,1
4,1,Directed,3,,1
4,2,Directed,4,,1
4,3,Directed,5,,1
5,1,Directed,6,,1
6,1,Directed,7,,1
7,1,Directed,8,,1
7,5,Directed,9,,1
7,6,Directed,10,,1
8,1,Directed,11,,1
8,2,Directed,12,,1
8,3,Directed,13,,1
8,4,Directed,14,,1
9,1,Directed,15,,1
9,3,Directed,16,,1
10,3,Directed,17,,1
11,1,Directed,18,,1
11,5,Directed,19,,1
11,6,Directed,20,,1
12,1,Directed,21,,1
13,1,Directed,22,,1
13,4,Directed,23,,1
14,1,Directed,24,,1
14,2,Directed,25,,1
14,3,Directed,26,,1
14,4,Directed,27,,1
17,6,Directed,28,,1
17,7,Directed,29,,1
18,1,Directed,30,,1
18,2,Directed,31,,1
20,1,Directed,32,,1
20,2,Directed,33,,1
22,1,Directed,34,,1
22,2,Directed,35,,1
26,24,Directed,36,,1
26,25,Directed,37,,1
28,3,Directed,38,,1
28,24,Directed,39,,1
28,25,Directed,40,,1
29,3,Directed,41,,1
30,24,Directed,42,,1
30,27,Directed,43,,1
31,2,Directed,44,,1
31,9,Directed,45,,1
32,1,Directed,46,,1
32,25,Directed,47,,1
32,26,Directed,48,,1
32,29,Directed,49,,1
33,3,Directed,50,,1
33,9,Directed,51,,1
33,15,Directed,52,,1
33,16,Directed,53,,1
33,19,Directed,54,,1
33,21,Directed,55,,1
33,23,Directed,56,,1
33,24,Directed,57,,1
33,30,Directed,58,,1
33,31,Directed,59,,1
33,32,Directed,60,,1
34,9,Directed,61,,1
34,10,Directed,62,,1
34,14,Directed,63,,1
34,15,Directed,64,,1
34,16,Directed,65,,1
34,19,Directed,66,,1
34,20,Directed,67,,1
34,21,Directed,68,,1
34,23,Directed,69,,1
34,24,Directed,70,,1
34,27,Directed,71,,1
34,28,Directed,72,,1
34,29,Directed,73,,1
34,30,Directed,74,,1
34,31,Directed,75,,1
34,32,Directed,76,,1
34,33,Directed,77,,1
